Location name,Amount spent (EGP)
Al Sharqia Governorate,2990
Alexandria Governorate,2920
Aswan Governorate,414
Asyut Governorate,938
Beheira Governorate,1306
Beni Suef Governorate,779
Cairo Governorate,6160
Dakahlia Governorate,3609
Damietta Governorate,691
Faiyum Governorate,655
Gharbia Governorate,2153
Giza Governorate,1784
Ismailia Governorate,989
Kafr el-Sheikh Governorate,1172
Luxor Governorate,277
Matrouh Governorate,111
Minya Governorate,1029
Monufia Governorate,1662
New Valley Governorate,103
North Sinai Governorate,212
Port Said Governorate,566
Qalyubia Governorate,1543
Qena Governorate,623
Red Sea Governorate,198
Sohag Governorate,1265
South Sinai Governorate,≤100
Suez Governorate,357
Unknown,≤100
