Location name,Amount spent (COP)
Amazonas,1437
Antioquia,2247597
Arauca,7477
Atlantico,435238
Bolivar,156975
Boyaca,33569
Caldas,29656
Caqueta,95389
Casanare,10537
Cauca,36652
Cesar,99604
Choco,12251
Cordoba,83022
Cundinamarca,277371
Distrito Especial,1674785
Guainia,801
Guaviare,1834
Huila,105901
La Guajira,57047
Magdalena,103321
Meta,80485
Narino,45275
Norte de Santander,49680
Putumayo,23222
Quindio,32879
Risaralda,184820
San Andres y Providencia,2568
Santander,91613
Sucre,28038
Tolima,104994
Unknown,≤100
Valle del Cauca,441576
Vaupes,490
Vichada,702
