Location name,Amount spent (CLP)
Antofagasta Region,107282
Araucanía Region,120997
Arica y Parinacota Region,80514
Atacama Region,27991
Aysén Region,19214
Bío Bío Region,231423
Coquimbo Region,115747
Los Lagos Region,105381
Los Ríos Region,33973
Magallanes y la Antártica Chilena Region,27070
Maule Region,80338
O'Higgins Region,94053
Santiago Metropolitan Region,1029486
Tarapacá Region,46247
Unknown,≤100
Valparaíso Region,220086
