Location name,Amount spent (VND)
An Giang Province,13378
Bà Rịa–Vũng Tàu Province,19617
Bình Dương Province,48908
Bình Phước Province,6450
Bình Thuận Province,9591
Bình Định Province,10818
Bạc Liêu Province,4779
Bắc Giang Province,21509
Bắc Kạn Province,984
Bắc Ninh Province,46839
Bến Tre Province,8485
Cao Bằng Province,68466
Cà Mau Province,9636
Cần Thơ,7771
Da Nang,13178
Gia Lai Province,56978
Haiphong,9487
Ho Chi Minh City,836317
Hà Giang Province,615
Hà Nam Province,16502
Hà Tĩnh Province,4970
Hòa Bình Province,4250
Hưng Yên Province,15469
Hải Dương Province,23650
Hậu Giang Province,3538
Khánh Hòa Province,17375
Kiên Giang Province,8477
Kon Tum Province,818
Lai Châu Province,723
Long An Province,27276
Lào Cai Province,1291
Lâm Đồng Province,7713
Lạng Sơn Province,1781
Nam Định Province,6249
Nghệ An Province,39669
Ninh Bình Province,2434
Ninh Thuận Province,5825
Phú Thọ Province,7202
Phú Yên Province,4576
Quảng Bình Province,5502
Quảng Nam Province,8374
Quảng Ngãi Province,5192
Quảng Ninh Province,3455
Quảng Trị Province,3986
Sóc Trăng Province,4340
Sơn La Province,1840
Thanh Hóa Province,13228
Thái Bình Province,33186
Thái Nguyên Province,58976
Thừa Thiên–Huế Province,8159
Tiền Giang Province,10030
Trà Vinh Province,3489
Tuyên Quang Province,2388
Tây Ninh Province,13590
Vĩnh Long Province,3494
Vĩnh Phúc Province,11664
Yên Bái Province,51317
Điện Biên Province,1348
Đắk Lắk Province,6151
Đắk Nông Province,2872
Đồng Nai Province,76209
Đồng Tháp Province,9696
