Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
608975645850217,Vattenfall,Vattenfall Sverige,45020,48
151159271594797,Systembolaget,Systembolaget,31311,4
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,23364,28
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,23294,42
126567104406,Hyresgästföreningen,Hyresgästföreningen,16448,53
643137272398136,Sverige för UNHCR,Sverige för UNHCR,13932,31
111630258867610,Röda Korset,Röda Korset,12464,17
95735961890,Greenpeace Sverige,Greenpeace Sverige,8771,77
440345132668081,UL,UL,8541,2
161213770567846,Operation Smile Sverige,Operation Smile Sverige,8417,4
59324455950,UNICEF Sverige,UNICEF Sverige,8342,23
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),7262,15
239177706143268,Mobility Sweden,Mobility Sweden,6366,5
382243262003,Plan International Sverige,Plan International Sverige,6165,9
369582590803,Dagens ETC,ETC-tidningarna,6146,27
114262485262083,Konsumentverket,Konsumentverket,6114,3
109886133732943,RESCUE - Sverige,RESCUE - Sverige,6015,1
150057951690751,OKQ8,OKQ8,5635,10
130040890394815,Skånetrafiken,Skånetrafiken (Region Skåne),4983,4
162985227114132,Skellefteå Kraft,Skellefteå Kraft,4602,6
72659261793,Rädda Barnen,Rädda Barnen,4436,41
18880778360,ActionAid Sweden,ActionAid Sweden,4350,7
19746853632,Djurens Rätt,Djurens Rätt,4147,4
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,3898,40
186513678039755,Fortum,Fortum Sverige,3545,21
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",3204,6
101341883359561,Matsmart Sverige,Matsmart,3050,3
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,2939,30
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,2894,14
298545626828036,Socialdemokraterna i Botkyrka,Socialdemokraterna i Botkyrka,2705,2
153270724787,Amnesty International Sverige,Amnesty International Sverige,2406,36
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,2392,6
195379633820701,Svenskt Kött,Svenskt Kött,2291,13
314872662206,Ekonomifakta,Ekonomifakta,2070,88
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,2050,37
117109165023455,Nordnet,Nordnet Bank AB,2032,2
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,1955,10
114736451897793,Socialdemokraterna i Södertälje,Socialdemokraterna i Södertälje,1714,3
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1633,8
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,1621,2
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,1595,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1594,3
