Location name,Amount spent (NOK)
Akershus,9529
Aust-Agder,1577
Buskerud,3725
Finnmark,1440
Hedmark,2615
Hordaland,9889
Møre og Romsdal,3952
Nord-Trøndelag,1955
Nordland,3864
Oppland,2549
Oslo,17288
Rogaland,7478
Sogn og Fjordane,1559
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,5670
Telemark,2649
Troms,3103
Unknown,≤100
Vest-Agder,3064
Vestfold,3780
Østfold,4754
