Location name,Amount spent (INR)
Andaman and Nicobar Islands,176
Andhra Pradesh,103532
Arunachal Pradesh,812
Assam,12912
Bihar,28390
Chandigarh,1499
Chhattisgarh,68354
Dadra and Nagar Haveli,692
Delhi,72549
Goa,3143
Gujarat,77123
Haryana,45827
Himachal Pradesh,12248
Jammu and Kashmir,5633
Jharkhand,13398
Karnataka,57240
Kerala,10406
Lakshadweep,≤100
Madhya Pradesh,116258
Maharashtra,198177
Manipur,283
Meghalaya,903
Mizoram,625
Nagaland,571
Odisha,13544
Puducherry,934
Punjab region,31122
Rajasthan,123141
Sikkim,671
Tamil Nadu,42956
Telangana,62557
Tripura,1692
Unknown,≤100
Uttar Pradesh,105465
Uttarakhand,11329
West Bengal,104311
