Location name,Amount spent (PYG)
Alto Paraguay Department,141
Alto Paraná Department,176960
Amambay Department,22589
Asunción,235250
Boquerón department,7788
Caaguazú Department,152424
Caazapá Department,8518
Canindeyú Department,23731
Central Department,466620
Concepción Department (Paraguay),16831
Cordillera Department,42583
Guairá Department,22898
Itapúa Department,47396
Misiones Department,15974
Paraguarí Department,19477
Presidente Hayes Department,33765
San Pedro Department,19353
Unknown,≤100
Ñeembucú Department,26333
