Location name,Amount spent (ZAR)
Eastern Cape,1063
Free State,675
Gauteng,3697
KwaZulu-Natal,1539
Limpopo,553
Mpumalanga,574
North West,857
Northern Cape,245
Unknown,≤100
Western Cape,8033
