Location name,Amount spent (HUF)
Baranya County,160409
Borsod-Abaúj-Zemplén County,240468
Budapest,1047560
Bács-Kiskun County,204199
Békés County,131674
Csongrád County,197882
Fejér County,184639
Győr-Moson-Sopron County,201603
Hajdú-Bihar County,202463
Heves County,108062
Jász-Nagykun-Szolnok County,135203
Komárom-Esztergom County,130491
Nógrád County,65258
Pest County,477750
Somogy County,107170
Szabolcs-Szatmár-Bereg County,180275
Tolna County,86076
Unknown,129
Vas County,105798
Veszprém County,149911
Zala County,107717
