Location name,Amount spent (SEK)
Blekinge County,4210
Dalarna County,8409
Gotland County,1891
Gävleborg County,9703
Halland County,8445
Jämtland County,4327
Jönköping County,9791
Kalmar County,6210
Kronoberg County,5319
Norrbotten County,7830
Skåne County,37204
Stockholm County,66029
Södermanland County,7885
Unknown,≤100
Uppsala County,13750
Värmland County,7735
Västerbotten County,8582
Västernorrland County,7837
Västmanland County,7773
Västra Götaland County,47517
Örebro County,8549
Östergötland County,12323
