Location name,Amount spent (AUD)
Australian Capital Territory,1096
Jervis Bay Territory,≤100
New South Wales,20795
Northern Territory,511
Queensland,9472
South Australia,2908
Tasmania,1096
Unknown,≤100
Victoria,10205
Western Australia,6298
