Location name,Amount spent (ZAR)
Eastern Cape,1027
Free State,767
Gauteng,5625
KwaZulu-Natal,1715
Limpopo,709
Mpumalanga,742
North West,513
Northern Cape,323
Unknown,≤100
Western Cape,8331
