Location name,Amount spent (GTQ)
Alta Verapaz Department,189
Baja Verapaz Department,≤100
Chimaltenango Department,190
Chiquimula Department,132
El Progreso Department,≤100
Escuintla Department,296
Guatemala Department,10588
Huehuetenango Department,305
Izabal Department,220
Jalapa Department,≤100
Jutiapa Department,147
Petén Department,137
Quetzaltenango Department,415
Quiché Department,223
Retalhuleu Department,131
Sacatepéquez Department,679
San Marcos Department,758
Santa Rosa Department,105
Sololá Department,131
Suchitepéquez Department,172
Totonicapán Department,108
Unknown,≤100
Zacapa Department,≤100
