Location name,Amount spent (EGP)
Al Sharqia Governorate,3606
Alexandria Governorate,4358
Aswan Governorate,632
Asyut Governorate,1332
Beheira Governorate,2136
Beni Suef Governorate,903
Cairo Governorate,9563
Dakahlia Governorate,4022
Damietta Governorate,1028
Faiyum Governorate,945
Gharbia Governorate,2960
Giza Governorate,2514
Ismailia Governorate,789
Kafr el-Sheikh Governorate,1720
Luxor Governorate,409
Matrouh Governorate,164
Minya Governorate,1457
Monufia Governorate,2002
New Valley Governorate,205
North Sinai Governorate,324
Port Said Governorate,674
Qalyubia Governorate,2182
Qena Governorate,977
Red Sea Governorate,398
Sohag Governorate,1748
South Sinai Governorate,158
Suez Governorate,532
Unknown,≤100
