Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,236
Apurímac Region,106
Arequipa Region,354
Ayacucho Region,149
Cajamarca Region,185
Callao,≤100
Cusco Region,322
Huancavelica Region,≤100
Huánuco Region,118
Ica Region,280
Junín Region,226
La Libertad Region,321
Lambayeque Region,240
Lima Region,2026
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,286
Puno Region,370
San Martín Region,172
Tacna Region,140
Tumbes Region,≤100
Ucayali Region,110
Unknown,≤100
