Location name,Amount spent (COP)
Amazonas,1010
Antioquia,6493445
Arauca,8149
Atlantico,992747
Bolivar,371213
Boyaca,58296
Caldas,461683
Caqueta,45273
Casanare,44068
Cauca,215435
Cesar,73047
Choco,55778
Cordoba,169125
Cundinamarca,327596
Distrito Especial,1509254
Guainia,675
Guaviare,4149
Huila,295873
La Guajira,25606
Magdalena,497420
Meta,398686
Narino,52847
Norte de Santander,639999
Putumayo,42088
Quindio,83781
Risaralda,903165
San Andres y Providencia,2265
Santander,661851
Sucre,63088
Tolima,222558
Unknown,119
Valle del Cauca,2666030
Vaupes,180
Vichada,911
