Location name,Amount spent (INR)
Andaman and Nicobar Islands,866
Andhra Pradesh,89345
Arunachal Pradesh,1800
Assam,10261
Bihar,33371
Chandigarh,2515
Chhattisgarh,20407
Dadra and Nagar Haveli,558
Delhi,34927
Goa,3250
Gujarat,44593
Haryana,29904
Himachal Pradesh,12018
Jammu and Kashmir,7910
Jharkhand,11432
Karnataka,212140
Kerala,13548
Lakshadweep,≤100
Madhya Pradesh,56493
Maharashtra,139419
Manipur,2600
Meghalaya,2233
Mizoram,324
Nagaland,1401
Odisha,12462
Puducherry,1361
Punjab region,33668
Rajasthan,115306
Sikkim,450
Tamil Nadu,46907
Telangana,45405
Tripura,1460
Unknown,≤100
Uttar Pradesh,89620
Uttarakhand,9175
West Bengal,30604
