Location name,Amount spent (NGN)
Abia State,16432
Adamawa State,9968
Akwa Ibom State,13179
Anambra State,12129
Bauchi State,7367
Bayelsa State,1549
Benué State,6843
Borno State,9924
Cross River State,4416
Delta State,11666
Ebonyi State,3560
Edo State,21746
Ekiti State,3971
Enugu State,11452
Federal Capital Territory,37229
Gombe State,4749
Imo State,8060
Jigawa State,3121
Kaduna State,26389
Kano State,74852
Katsina State,8031
Kebbi State,3876
Kogi State,6390
Kwara State,23272
Lagos State,146445
Nasarawa State,6664
Niger State,6490
Ogun State,8777
Ondo State,6763
Osun State,14379
Oyo State,31461
Plateau State,12517
Rivers State,36961
Sokoto State,7888
Taraba State,4460
Unknown,446
Yobe State,2785
Zamfara State,2082
