Location name,Amount spent (PLN)
Greater Poland Voivodeship,2815
Kuyavian-Pomeranian Voivodeship,1701
Lesser Poland Voivodeship,2873
Lower Silesian Voivodeship,2462
Lublin Voivodeship,1319
Lubusz Voivodeship,689
Masovian Voivodeship,5674
Opole Voivodeship,642
Podkarpackie Voivodeship,1363
Podlaskie Voivodeship,927
Pomeranian Voivodeship,2105
Silesian Voivodeship,3465
Unknown,≤100
Warmian-Masurian Voivodeship,1083
West Pomeranian Voivodeship,1541
Łódź Voivodeship,1805
Świętokrzyskie Voivodeship,717
