Location name,Amount spent (IDR)
Aceh,764806
Bali,1869054
Bangka–Belitung Islands,390122
Banten,2284344
Bengkulu,741548
Central Java,9248748
Central Kalimantan,998992
Central Sulawesi,1244131
East Java,12366744
East Kalimantan,1763192
East Nusa Tenggara,2452674
Gorontalo,560140
Jakarta,6202387
Jambi,980240
Lampung,1926415
Maluku,590401
North Kalimantan,285951
North Maluku,463753
North Sulawesi,3049087
North Sumatra,5394184
Papua (province),835452
Riau,2250140
Riau Islands Province,794103
South Kalimantan,960224
South Sulawesi,2629098
South Sumatra,2419440
Southeast Sulawesi,746418
Special Region of Yogyakarta,1113334
Unknown,4837
West Java,10687115
West Kalimantan,1713025
West Nusa Tenggara,1745313
West Papua,434910
West Sulawesi,465224
West Sumatra,1257200
