Location name,Amount spent (EUR)
Alsace,893
Aquitaine,1550
Auvergne,476
Basse-Normandie,538
Bourgogne,630
Bretagne,1305
Centre,998
Champagne-Ardenne,496
Corse,200
Franche-Comté,411
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,771
Languedoc-Roussillon,1458
Limousin,281
Lorraine,925
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1270
New Caledonia,≤100
Nord-Pas-de-Calais,1485
Pays de la Loire,1427
Picardie,705
Poitou-Charentes,717
Provence-Alpes-Côte d'Azur,3064
Reunion Island,≤100
Rhône-Alpes,2825
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8595
