Location name,Amount spent (COP)
Amazonas,2392
Antioquia,5651376
Arauca,33455
Atlantico,776971
Bolivar,414100
Boyaca,154141
Caldas,132826
Caqueta,50596
Casanare,64220
Cauca,243459
Cesar,154284
Choco,41396
Cordoba,133904
Cundinamarca,604259
Distrito Especial,3818081
Guainia,1644
Guaviare,12998
Huila,270746
La Guajira,73208
Magdalena,521506
Meta,316177
Narino,185717
Norte de Santander,495487
Putumayo,67209
Quindio,136039
Risaralda,417055
San Andres y Providencia,8520
Santander,404342
Sucre,114042
Tolima,214089
Unknown,342
Valle del Cauca,3748218
Vaupes,686
Vichada,1390
