Location name,Amount spent (EUR)
Alsace,1131
Aquitaine,2153
Auvergne,637
Basse-Normandie,709
Bourgogne,783
Bretagne,1771
Centre,1215
Champagne-Ardenne,713
Corse,260
Franche-Comté,541
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1003
Languedoc-Roussillon,2020
Limousin,385
Lorraine,1439
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1709
New Caledonia,≤100
Nord-Pas-de-Calais,2229
Pays de la Loire,1634
Picardie,1038
Poitou-Charentes,1009
Provence-Alpes-Côte d'Azur,3718
Reunion Island,≤100
Rhône-Alpes,3418
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,6380
