Location name,Amount spent (MYR)
Johor,265
Kedah,165
Kelantan,144
Kuala Lumpur,409
Labuan,≤100
Malacca,123
Negeri Sembilan,105
Pahang,209
Penang,123
Perak,222
Perlis,≤100
Putrajaya,≤100
Sabah,169
Sarawak,256
Selangor,649
Terengganu,≤100
Unknown,≤100
