Location name,Amount spent (JPY)
Aichi Prefecture,32653
Akita Prefecture,2795
Aomori Prefecture,4169
Chiba Prefecture,35203
Ehime Prefecture,3785
Fukui Prefecture,2169
Fukuoka Prefecture,44661
Fukushima Prefecture,5203
Gifu Prefecture,6735
Gunma Prefecture,5651
Hiroshima Prefecture,8845
Hokkaido,17925
Hyōgo Prefecture,21009
Ibaraki Prefecture,8696
Ishikawa Prefecture,4579
Iwate Prefecture,5281
Kagawa Prefecture,4960
Kagoshima Prefecture,4570
Kanagawa Prefecture,63145
Kumamoto Prefecture,6927
Kyoto Prefecture,12751
Kōchi Prefecture,1816
Mie Prefecture,5482
Miyagi Prefecture,14668
Miyazaki Prefecture,3064
Nagano Prefecture,5882
Nagasaki Prefecture,4732
Nara Prefecture,4750
Niigata Prefecture,5532
Okayama Prefecture,9487
Okinawa Prefecture,10380
Osaka Prefecture,44170
Saga Prefecture,4912
Saitama Prefecture,30452
Shiga Prefecture,4775
Shimane Prefecture,1720
Shizuoka Prefecture,11979
Tochigi Prefecture,6106
Tokushima Prefecture,1628
Tokyo,96422
Tottori Prefecture,1185
Toyama Prefecture,2410
Unknown,≤100
Wakayama Prefecture,2850
Yamagata Prefecture,3481
Yamaguchi Prefecture,4357
Yamanashi Prefecture,2839
Ōita Prefecture,4943
