Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,5819058,9
105124862343150,G24 Golkar Jateng,Yayasan Golkar Institut SPKP,3092458,7
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,2799028,66
164882486874333,antaranews.com,antaranews.com,2437207,5
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,2145594,7
695605000462574,CNN Indonesia,CNN Indonesia,1652773,2
110486698458488,Adiguna Daniel Jerash,Adiguna Daniel Jerash,1425415,2
108308008686834,G24 Golkar Jabar,Yayasan Golkar Institut SPKP,1363803,3
106659018854198,G24 Golkar Jatim,Yayasan Golkar Institut SPKP,1295364,3
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,1235792,11
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,1155865,10
102099256044892,G24 Golkar DKI,Yayasan Golkar Institute SPKP,1113461,38
107087892161368,G24 Golkar Sulut,Yayasan Golkar Institute SPKP,917078,7
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,831633,12
105621692292591,G24 Golkar Sulsel,Yayasan Golkar Institut SPKP,729698,3
102262302515901,Henry Indraguna,Nurazmi Batubara,590861,7
101960622677350,E-KTA Partai Golkar,Yayasan Golkar Institute SPKP,587696,1
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,583767,3
102766839263043,G24 Golkar Kaltim,Yayasan Golkar Institut SPKP,577918,8
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,500029,28
109614491898151,G24 Golkar NTT,Yayasan Golkar Institut SPKP,468356,3
109421458610554,G24 Golkar Riau,Yayasan Golkar Institute SPKP,445438,4
106074385580593,G24 Golkar Banten,Yayasan Golkar Institut SPKP,442032,5
102331445974678,G24 Golkar Kalbar,Yayasan Golkar Institut SPKP,440013,3
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,409543,29
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,380469,5
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,364667,2
105351238986805,G24 Golkar Sumut,Yayasan Golkar Institut SPKP,361623,2
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,342155,3
144214102401186,Maman Abdurrahman,Maman Abdurrahman,334880,5
105567345649477,G24 Golkar Sumsel,Yayasan Golkar Institut SPKP,330069,2
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,311194,15
102551632634848,G24 Golkar Papua,Yayasan Golkar Institute SPKP,296449,7
100395159482292,Bizhare Securities Crowdfunding,These ads ran without a disclaimer,292461,1
204862942932993,Nikkei Asia,These ads ran without a disclaimer,284937,3
110608611801801,G24 Golkar Malut,Yayasan Golkar Institut SPKP,281151,6
106559844743969,kumparanplus,PT. Dynamo Media Network,271163,3
101389706093580,G24 Golkar Lampung,Yayasan Golkar Institute SPKP,262225,4
103610389181419,G24 Golkar Jambi,Yayasan Golkar Institut SPKP,257746,5
100602629497814,G24 Golkar Maluku,Yayasan Golkar Institut SPKP,253148,6
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,249478,1
102477679297861,G24 Golkar Sumbar,Yayasan Golkar Institute SPKP,240631,2
173776079818775,Saiful Mujani,Saidiman,222350,2
100226362848619,G24 Golkar Kalsel,Golkar Institute SPKP,204333,7
503443566392334,Zurich,These ads ran without a disclaimer,199009,1
326822061530978,Dinas Kominfo Nganjuk,Aditya Rachmat Pamungkas,197629,4
103028419236230,G24 Golkar DIY,Yayasan Golkar Institut SPKP,196082,4
111431385073299,G24 Golkar Bengkulu,Yayasan Golkar Institute SPKP,188117,6
102058329113370,American Tourister Asia,These ads ran without a disclaimer,184530,1
106245875573990,G24 Golkar Kepulauan Riau,Yayasan Golkar Institut SPKP,169278,14
101901612703421,G24 Golkar Sultra,Yayasan Golkar Institute SPKP,166705,2
104278069107924,G24 Golkar NTB,Yayasan Golkar Institute SPKP,153008,1
104317482149268,DPRD Provinsi Jawa Timur,Dinni Anggraeni,140737,5
104275935775351,G24 Golkar Kalteng,Yayasan Golkar Institut SPKP,135426,3
110750361762052,Pikiran Rakyat,Desta Darmawansyah,130932,6
103411659195911,JIMAT,Arik Luviani Putri Yasa,130064,7
100398849135155,Sandiku Sayang,Iwan Hardiansyah,128948,6
164800207258203,SUARANTB.com,SUARANTB.com,127467,2
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,120192,10
111486288379371,G24 Golkar Sulteng,Yayasan Golkar Institut SPKP,112901,2
