Location name,Amount spent (CZK)
Central Bohemian Region,4522
Hradec Králové Region,1985
Karlovy Vary Region,1059
Liberec Region,1536
Moravian-Silesian Region,4216
Olomouc Region,5034
Pardubice Region,1712
Plzeň Region,2427
Prague,11979
South Bohemian Region,4083
South Moravian Region,7957
Unknown,379
Vysočina Region,1585
Zlín Region,1857
Ústí nad Labem Region,3920
