Location name,Amount spent (UYU)
Artigas Department,130
Canelones Department,433
Cerro Largo Department,123
Colonia Department,219
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,208
Montevideo Department,2357
Paysandú Department,5714
Rivera Department,385
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,209
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,101
Treinta y Tres Department,≤100
Unknown,≤100
