Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,198
Bangkok,5203
Bueng Kan,≤100
Buriram,165
Chachoengsao,132
Chai Nat,≤100
Chaiyaphum,111
Chanthaburi,≤100
Chiang Mai,1395
Chiang Rai,155
Chon Buri,787
Chumphon,≤100
Kalasin,≤100
Kamphaeng Phet,271
Kanchanaburi,137
Khon Kaen,318
Krabi,≤100
Lampang,121
Lamphun,≤100
Loei,≤100
Lop Buri,113
Mae Hong Son,≤100
Maha Sarakham,107
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,204
Nakhon Phanom,≤100
Nakhon Ratchasima,555
Nakhon Sawan,147
Nakhon Si Thammarat,238
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,408
Pathum Thani,259
Pattani,129
Phangnga,≤100
Phatthalung,≤100
Phayao,≤100
Phetchabun,102
Phetchaburi,105
Phichit,≤100
Phitsanulok,814
Phrae,≤100
Phuket,1167
Prachin Buri,≤100
Prachuap Khiri Khan,185
Ranong,≤100
Ratchaburi,180
Rayong,246
Roi Et,106
Sa Kaeo,≤100
Sakon Nakhon,410
Samut Prakan,338
Samut Sakhon,139
Samut Songkhram,≤100
Saraburi,143
Satun,≤100
Sing Buri,≤100
Sisaket,154
Songkhla,1448
Sukhothai,≤100
Suphan Buri,126
Surat Thani,467
Surin,164
Tak,≤100
Trang,≤100
Trat,≤100
Ubon Ratchathani,227
Udon Thani,227
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,≤100
Yasothon,≤100
