Location name,Amount spent (RON)
Alba County,388
Arad County,523
Argeș County,620
Bacău County,801
Bihor County,433
Bistrița-Năsăud County,293
Botoșani County,362
Brașov County,503
Brăila County,287
Bucharest,2516
Buzău County,372
Caraș-Severin County,238
Cluj County,739
Constanța County,625
Covasna County,176
Călărași County,185
Dolj County,613
Dâmbovița County,348
Galați County,635
Giurgiu County,160
Gorj County,300
Harghita County,305
Hunedoara County,407
Ialomița County,168
Iași County,791
Ilfov County,270
Maramureș County,414
Mehedinți County,214
Mureș County,497
Neamț County,532
Olt County,295
Prahova County,683
Satu Mare County,281
Sibiu County,346
Suceava County,593
Sălaj County,192
Teleorman County,233
Timiș County,971
Tulcea County,174
Unknown,≤100
Vaslui County,303
Vrancea County,305
Vâlcea County,297
