Location name,Amount spent (AUD)
Australian Capital Territory,3710
Jervis Bay Territory,≤100
New South Wales,48446
Norfolk Island,≤100
Northern Territory,1179
Queensland,48737
South Australia,11942
Tasmania,5829
Unknown,1799
Victoria,42182
Western Australia,19779
