Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
2229936167288652,Juan Sartori,Equipo Juan Sartori,3215,2
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,1981,2
721629447857727,567 El Espacio,Partido por la Victoria del Pueblo - Espacio 567 - Frente Amplio,1638,2
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,1354,4
225968600759645,Andrés Lima,Andrés Lima,644,5
111113632884184,Bailoqueros,These ads ran without a disclaimer,449,1
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,289,2
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,264,4
530640683655093,President,These ads ran without a disclaimer,262,3
2332750643467917,Yamandú Costa,Espacio 2040,259,1
339506493370193,Richard Sander,Richard Sander,179,2
107178538748255,Acción País Salto,Acción País Salto,148,1
668626516485308,Enred Frenteamplista - Enred Socialista,Partido Socialista del Uruguay,112,1
105117615358542,Kanthusburger,These ads ran without a disclaimer,104,1
107574220629167,Carolina Batista,Carolina Batista,≤100,1
100461366389167,Bienestar Social IDR,Bienestar Social IDR,≤100,1
2189692867780422,Marcio Protti,Marcio Protti,≤100,1
324027561107639,María De Lima,These ads ran without a disclaimer,≤100,1
131947030163002,Periódico Liberarce,These ads ran without a disclaimer,≤100,1
260130691485088,Carlucho Moreno,Carlucho Moreno,≤100,1
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
103512969698091,Le Tour de France,These ads ran without a disclaimer,≤100,1
1374723796115345,Glashütte Original,These ads ran without a disclaimer,≤100,1
