Location name,Amount spent (AUD)
Australian Capital Territory,1202
Jervis Bay Territory,≤100
New South Wales,19978
Northern Territory,652
Queensland,17354
South Australia,6652
Tasmania,2396
Unknown,1088
Victoria,19192
Western Australia,8114
