Location name,Amount spent (VND)
An Giang Province,98369
Bà Rịa–Vũng Tàu Province,107347
Bình Dương Province,455948
Bình Phước Province,78901
Bình Thuận Province,51396
Bình Định Province,88914
Bạc Liêu Province,39511
Bắc Giang Province,116859
Bắc Kạn Province,38925
Bắc Ninh Province,130193
Bến Tre Province,57349
Cao Bằng Province,32984
Cà Mau Province,84385
Cần Thơ,68876
Da Nang,95154
Gia Lai Province,126709
Haiphong,120368
Ho Chi Minh City,1951541
Hà Giang Province,38247
Hà Nam Province,53471
Hà Tĩnh Province,61764
Hòa Bình Province,31624
Hưng Yên Province,78575
Hải Dương Province,98963
Hậu Giang Province,24453
Khánh Hòa Province,97887
Kiên Giang Province,94096
Kon Tum Province,29444
Lai Châu Province,13324
Long An Province,78247
Lào Cai Province,77866
Lâm Đồng Province,124301
Lạng Sơn Province,79961
Nam Định Province,85560
Nghệ An Province,300824
Ninh Bình Province,56587
Ninh Thuận Province,22132
Phú Thọ Province,96595
Phú Yên Province,63621
Quảng Bình Province,65215
Quảng Nam Province,142217
Quảng Ngãi Province,158153
Quảng Ninh Province,57613
Quảng Trị Province,71406
Sóc Trăng Province,62284
Sơn La Province,60934
Thanh Hóa Province,207480
Thái Bình Province,93529
Thái Nguyên Province,80607
Thừa Thiên–Huế Province,69494
Tiền Giang Province,97926
Trà Vinh Province,53064
Tuyên Quang Province,139976
Tây Ninh Province,69278
Unknown,307
Vĩnh Long Province,35000
Vĩnh Phúc Province,63083
Yên Bái Province,40350
Điện Biên Province,32142
Đắk Lắk Province,142066
Đắk Nông Province,37321
Đồng Nai Province,320195
Đồng Tháp Province,52648
