Location name,Amount spent (PLN)
Greater Poland Voivodeship,3635
Kuyavian-Pomeranian Voivodeship,2334
Lesser Poland Voivodeship,3619
Lower Silesian Voivodeship,2831
Lublin Voivodeship,1648
Lubusz Voivodeship,705
Masovian Voivodeship,6725
Opole Voivodeship,1116
Podkarpackie Voivodeship,1437
Podlaskie Voivodeship,758
Pomeranian Voivodeship,2334
Silesian Voivodeship,3400
Unknown,238
Warmian-Masurian Voivodeship,1408
West Pomeranian Voivodeship,1616
Łódź Voivodeship,2461
Świętokrzyskie Voivodeship,837
