Page ID,Page name,Disclaimer,Amount spent (SLL),Number of ads in Library
565225540184937,CGTN,These ads ran without a disclaimer,10000,1
193159954041877,New Narratives,These ads ran without a disclaimer,2900,2
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
571956836171870,Carlo Tedesco Showroom,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
179370212712433,Suivera,These ads ran without a disclaimer,≤100,1
100432322646591,Magnom Properties,These ads ran without a disclaimer,≤100,1
477385565779582,How to use abortion pill,These ads ran without a disclaimer,≤100,1
