Location name,Amount spent (USD)
Al Anbar Governorate,159
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,361
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,121
Erbil Governorate,333
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,104
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,131
Saladin Governorate,≤100
Sulaymaniyah Governorate,326
Unknown,≤100
Wasit Governorate,≤100
