Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,497,3
502665456448329,Federico Barolin,These ads ran without a disclaimer,462,1
339506493370193,Richard Sander,Richard Saul Sander Darín,324,2
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100,1
488400941357594,Red Mises América - Mises America Network,These ads ran without a disclaimer,≤100,2
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
103982862530012,mailatamchina,These ads ran without a disclaimer,≤100,1
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,1
622390311179612,وقف الأمة Ümmet Vakfı,These ads ran without a disclaimer,≤100,1
105333165416452,constantino.sc,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
772703132772957,Marc Houses,These ads ran without a disclaimer,≤100,1
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,1
