Location name,Amount spent (ZAR)
Eastern Cape,951
Free State,633
Gauteng,3457
KwaZulu-Natal,1547
Limpopo,639
Mpumalanga,526
North West,397
Northern Cape,222
Unknown,≤100
Western Cape,3761
