Location name,Amount spent (ZAR)
Eastern Cape,771
Free State,855
Gauteng,3802
KwaZulu-Natal,1182
Limpopo,375
Mpumalanga,440
North West,374
Northern Cape,166
Unknown,≤100
Western Cape,8967
