Location name,Amount spent (VND)
An Giang Province,100978
Bà Rịa–Vũng Tàu Province,159662
Bình Dương Province,389256
Bình Phước Province,92781
Bình Thuận Province,100219
Bình Định Province,135339
Bạc Liêu Province,37682
Bắc Giang Province,384394
Bắc Kạn Province,42580
Bắc Ninh Province,320330
Bến Tre Province,64734
Cao Bằng Province,353443
Cà Mau Province,73794
Cần Thơ,68305
Da Nang,130080
Gia Lai Province,102101
Haiphong,327953
Ho Chi Minh City,2650006
Hà Giang Province,52705
Hà Nam Province,90178
Hà Tĩnh Province,190798
Hòa Bình Province,99944
Hưng Yên Province,240350
Hải Dương Province,426069
Hậu Giang Province,37591
Khánh Hòa Province,168353
Kiên Giang Province,91357
Kon Tum Province,49539
Lai Châu Province,14884
Long An Province,180388
Lào Cai Province,64174
Lâm Đồng Province,150899
Lạng Sơn Province,78099
Nam Định Province,141748
Nghệ An Province,378012
Ninh Bình Province,165952
Ninh Thuận Province,43146
Phú Thọ Province,178483
Phú Yên Province,73553
Quảng Bình Province,112558
Quảng Nam Province,119135
Quảng Ngãi Province,157365
Quảng Ninh Province,157246
Quảng Trị Province,71400
Sóc Trăng Province,44676
Sơn La Province,94298
Thanh Hóa Province,355563
Thái Bình Province,160146
Thái Nguyên Province,204397
Thừa Thiên–Huế Province,73727
Tiền Giang Province,84976
Trà Vinh Province,51040
Tuyên Quang Province,143787
Tây Ninh Province,370176
Unknown,117
Vĩnh Long Province,42116
Vĩnh Phúc Province,224491
Yên Bái Province,109488
Điện Biên Province,42063
Đắk Lắk Province,236013
Đắk Nông Province,48852
Đồng Nai Province,418376
Đồng Tháp Province,209748
