Location name,Amount spent (VND)
An Giang Province,20854
Bà Rịa–Vũng Tàu Province,4955
Bình Dương Province,57863
Bình Phước Province,5974
Bình Thuận Province,7022
Bình Định Province,35536
Bạc Liêu Province,4242
Bắc Giang Province,51611
Bắc Kạn Province,32166
Bắc Ninh Province,14332
Bến Tre Province,8791
Cao Bằng Province,140642
Cà Mau Province,5255
Cần Thơ,76739
Da Nang,3521
Gia Lai Province,18397
Haiphong,5036
Ho Chi Minh City,433236
Hà Giang Province,32569
Hà Nam Province,31562
Hà Tĩnh Province,75274
Hòa Bình Province,34171
Hưng Yên Province,3359
Hải Dương Province,35075
Hậu Giang Province,18904
Khánh Hòa Province,4826
Kiên Giang Province,11858
Kon Tum Province,2711
Lai Châu Province,8386
Long An Province,17479
Lào Cai Province,32195
Lâm Đồng Province,10582
Lạng Sơn Province,47596
Nam Định Province,42590
Nghệ An Province,170564
Ninh Bình Province,23224
Ninh Thuận Province,3338
Phú Thọ Province,40138
Phú Yên Province,6316
Quảng Bình Province,34691
Quảng Nam Province,36461
Quảng Ngãi Province,6049
Quảng Ninh Province,33954
Quảng Trị Province,22862
Sóc Trăng Province,74242
Sơn La Province,43127
Thanh Hóa Province,101805
Thái Bình Province,35568
Thái Nguyên Province,36551
Thừa Thiên–Huế Province,36025
Tiền Giang Province,29292
Trà Vinh Province,28766
Tuyên Quang Province,39219
Tây Ninh Province,6027
Unknown,≤100
Vĩnh Long Province,49029
Vĩnh Phúc Province,32782
Yên Bái Province,63165
Điện Biên Province,19883
Đắk Lắk Province,14990
Đắk Nông Province,4809
Đồng Nai Province,80498
Đồng Tháp Province,52447
