Location name,Amount spent (TRY)
Adana Province,463
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,143
Amasya Province,≤100
Ankara Province,1468
Antalya Province,917
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,215
Ağrı Province,≤100
Balıkesir Province,230
Bartın Province,≤100
Batman Province,154
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,742
Denizli Province,256
Diyarbakır Province,146
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,268
Gaziantep Province,313
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,264
Isparta Province,≤100
Istanbul Province,9048
Iğdır Province,≤100
Kahramanmaraş Province,125
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,1209
Kilis Province,≤100
Kocaeli Province,706
Konya Province,383
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,253
Mardin Province,≤100
Mersin Province,1516
Muğla Province,512
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,109
Osmaniye Province,120
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,350
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,1272
Tokat Province,≤100
Trabzon Province,138
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,497
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1639
Şanlıurfa Province,189
Şırnak Province,≤100
