Location name,Amount spent (RON)
Alba County,982
Arad County,1111
Argeș County,1474
Bacău County,1507
Bihor County,1625
Bistrița-Năsăud County,724
Botoșani County,689
Brașov County,1958
Brăila County,700
Bucharest,9550
Buzău County,876
Caraș-Severin County,576
Cluj County,2636
Constanța County,2550
Covasna County,561
Călărași County,524
Dolj County,1453
Dâmbovița County,999
Galați County,1376
Giurgiu County,437
Gorj County,690
Harghita County,916
Hunedoara County,1276
Ialomița County,444
Iași County,3629
Ilfov County,1108
Maramureș County,1255
Mehedinți County,458
Mureș County,1701
Neamț County,1121
Olt County,592
Prahova County,1748
Satu Mare County,794
Sibiu County,1165
Suceava County,1432
Sălaj County,726
Teleorman County,472
Timiș County,2307
Tulcea County,417
Unknown,≤100
Vaslui County,584
Vrancea County,773
Vâlcea County,988
