Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,118
Berane Municipality,≤100
Bijelo Polje Municipality,142
Budva Municipality,148
Danilovgrad Municipality,≤100
Herceg Novi Municipality,≤100
Kolašin Municipality,≤100
Nikšić Municipality,247
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,≤100
Plužine Municipality,≤100
Podgorica Capital City,1389
Rožaje Municipality,≤100
Tivat Municipality,112
Ulcinj Municipality,129
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
