Location name,Amount spent (PGK)
Autonomous Region of Bougainville,≤100
East New Britain Province,≤100
East Sepik Province,≤100
Enga Province,≤100
Hela Province,≤100
Madang Province,≤100
Manus Province,≤100
Morobe Province,≤100
New Ireland Province,≤100
Port Moresby,≤100
West New Britain Province,≤100
