Location name,Amount spent (PLN)
Greater Poland Voivodeship,5383
Kuyavian-Pomeranian Voivodeship,2912
Lesser Poland Voivodeship,5060
Lower Silesian Voivodeship,4241
Lublin Voivodeship,2776
Lubusz Voivodeship,1489
Masovian Voivodeship,9914
Opole Voivodeship,1014
Podkarpackie Voivodeship,2235
Podlaskie Voivodeship,1228
Pomeranian Voivodeship,4428
Silesian Voivodeship,5948
Unknown,≤100
Warmian-Masurian Voivodeship,1641
West Pomeranian Voivodeship,2797
Łódź Voivodeship,3614
Świętokrzyskie Voivodeship,1268
