Location name,Amount spent (MXN)
Aguascalientes,6740
Baja California,17827
Baja California Sur,2637
Campeche,6334
Chiapas,10827
Chihuahua,21932
Coahuila de Zaragoza,26204
Colima,13933
Distrito Federal,177627
Durango,5349
Guanajuato,30205
Guerrero,9882
Hidalgo,7301
Jalisco,68062
Michoacán de Ocampo,22785
Morelos,5932
Nayarit,2613
Nuevo León,168461
Oaxaca,7606
Puebla,15707
Querétaro Arteaga,14075
Quintana Roo,9127
San Luis Potosi,13458
Sinaloa,7817
Sonora,17539
State of Mexico,60403
Tabasco,6279
Tamaulipas,18453
Tlaxcala,3574
Unknown,≤100
Veracruz,19389
Yucatán,24428
Zacatecas,2832
