Location name,Amount spent (AUD)
Australian Capital Territory,891
Jervis Bay Territory,≤100
New South Wales,14024
Northern Territory,463
Queensland,13698
South Australia,4080
Tasmania,1877
Unknown,≤100
Victoria,13476
Western Australia,7694
