Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,596
Basra Governorate,123
Dhi Qar Governorate,105
Diyala Governorate,≤100
Dohuk Governorate,197
Erbil Governorate,412
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,140
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,173
Saladin Governorate,≤100
Sulaymaniyah Governorate,347
Unknown,≤100
Wasit Governorate,≤100
