Location name,Amount spent (HUF)
Baranya County,141254
Borsod-Abaúj-Zemplén County,202666
Budapest,867732
Bács-Kiskun County,168303
Békés County,120219
Csongrád County,157964
Fejér County,195374
Győr-Moson-Sopron County,155366
Hajdú-Bihar County,291523
Heves County,97044
Jász-Nagykun-Szolnok County,130284
Komárom-Esztergom County,101286
Nógrád County,57685
Pest County,372393
Somogy County,95143
Szabolcs-Szatmár-Bereg County,180794
Tolna County,82110
Unknown,133
Vas County,85772
Veszprém County,110239
Zala County,99317
