Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,152
Cerro Largo Department,≤100
Colonia Department,1132
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,154
Montevideo Department,566
Paysandú Department,≤100
Rivera Department,923
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,141
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
