Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1058116737612843,USR,Uniunea Salvați România,6765,10
181375448581167,Partidul Naţional Liberal,Partidul Național Liberal,3763,4
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,3263,18
990747367737692,Cătălin Drulă,Uniunea Salvați România,1106,1
108723169291363,Daniel Suciu,Partidul Social Democrat,881,6
686190454826244,Declic,Declic,724,55
574372066308729,Basism,Grupul de Investigatii Politice,436,2
163943696987223,Ziarul Puterea,Ziarul Puterea,371,21
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,361,7
207741001672,Speranta pentru Romania,Speranta pentru Romania,358,8
102025778125741,Robert Cazanciuc,Partidul Social Democrat,356,5
114319753592403,AFACERI.news,Horia-Marius Bogdan,330,6
178362315106,European Parliament,European Parliament,320,2
1422685664661575,Grupul de Presa MediaUno,Grupul de Presa MediaUno,287,3
138896782840976,Biroul Parlamentului European în România,Biroul Parlamentului European în România,277,3
176989973158138,Guvernare.net,Guvernare.net,274,3
1796777377209154,Regia Nationala a Padurilor - Romsilva,Regia Nationala a Padurilor - Romsilva,267,9
168243139877442,BZI,BZI,257,3
108801900624850,Cojocaru Petru Bogdan,Partidul Social Democrat,218,4
110665943772240,Virgil Pirvulescu,Virgil Pirvulescu,207,3
232648310108207,Observator,These ads ran without a disclaimer,200,1
883243308450205,Costin Răsăuţeanu,Costin Răsăuţeanu,200,1
112599703659958,Green News,ASOCIATIA GREEN ACADEMY,194,7
2546711162025064,Politice.net,politice.net,192,2
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,180,39
174434106304018,USR Galați,USR Galați,174,7
112664490103704,Salvăm România,Salvăm România,170,2
1653726584879481,Mihai Fifor,Fifor Mihai,160,2
185582988821530,Cătălin Teniță,Cabinet Parlamentar Dragoș-Cătălin Teniță,149,2
113910327963153,Andrei Ohaci,Andrei Ohaci,147,3
412140715514446,Florin-Alexandru Alexe,Alexandru Marin,144,1
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Umanist Social Liberal,142,11
260365460647855,Mircea Geoana,Mircea Geoana,139,4
1601334153417885,RMDSZ Kolozs Megye,RMDSZ Kolozs Megye,127,7
789998757706140,PNL Brăila,Partidul National Liberal Braila,119,1
101340741758468,Radu Pescar,Pescar Radu Mircea,110,8
100491781650498,Premierul Nostru,Premierul Nostru,110,2
109556372802910,USR Dolj,USR Dolj,104,2
107236228539491,Ion Belu,Ion Belu,102,1
100211372942318,România=GEȚIA,Mărgărit-Daniel Buzoi,101,2
100252252935644,Daniel Florian Mihaly Candidat la Primăria Sectorului 2 Susținut de Onțanu,Partidul ADER Sector 2,≤100,1
337159212964962,Ziua de Cluj,Ziua de Cluj,≤100,2
207255636351408,Dan Barna,Dan Barna,≤100,2
102583398070721,Buletin de Timisoara,Buletin de Informare,≤100,1
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,13
1504323906337545,Litere.net,litere.net,≤100,2
348610102203573,Radu Miruţă,MIRUTA RADU-DINEL,≤100,2
508572592666785,Alin Drăgulin,Alin-Bogdan Drăgulin,≤100,11
200813406761691,Corina Cretu,Marina Alin-Constantin,≤100,2
808773709245245,Nicolae Giugea,Nicolae Giugea,≤100,1
149371012371397,Newsweek Romania,Newsweek Romania,≤100,2
222301682031706,USR Hunedoara,Uniunea Salvati Romania,≤100,1
675042232534141,Vincze Loránt,Vincze Loránt,≤100,3
113244853572790,Primaria Gârcina,Media PR Grup,≤100,1
1634415100191327,Oana Marciana Özmen,Alexandru Marin,≤100,1
697451833786949,Mihai Polițeanu,POLITEANU MIHAI-LAURENTIU,≤100,3
360184320712594,Raluca Turcan,Partidul Naţional Liberal,≤100,4
111537728362203,Biciușcă George,George-Emilian Biciusca,≤100,12
261202277284497,Theodor Paleologu,Ioana Prândurel,≤100,3
523106417867452,Mircea Fechet,Mircea Fechet,≤100,2
439359429854762,USR Dobroești,USR Ilfov,≤100,1
273368189415152,Comunitatea Elena Elpis Constanta,Anton-Traian Antoniadis,≤100,1
102339891508937,ONG-uri pentru Cetățean,ONG-uri pentru Cetățean,≤100,3
104521871161055,Bogdan Barbu,Bogdan Viorel Barbu,≤100,1
205001282852200,Milvus Group,Asociatia GRUPUL MILVUS,≤100,3
103640708229788,Laurențiu Marin,Laurentiu-Daniel Marin,≤100,3
380732082049106,Erdélyi Magyar Nemzeti Tanács,Erdélyi Magyar Nemzeti Tanács,≤100,3
112561930654300,NTD Romania,Cristian Nica,≤100,1
254771308032377,Cosmin Andrei,Cosmin Andrei,≤100,1
147547541961576,Council of the European Union,Council of the European Union,≤100,2
308475693108961,USR Sălaj,USR Sălaj,≤100,2
220579784732993,Daniel Buda,Buda Daniel,≤100,1
341037705981172,Humanitas,Humanitas,≤100,2
181221645364365,Carmen Avram,Carmen Avram,≤100,2
241910409500962,Ruben Budău,Budău Ruben,≤100,1
110980981783633,Modernizăm România,Partidul National Liberal,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
827831393930594,Alin Ignat,IGNAT ION-ALIN-DAN,≤100,1
303161840300967,Nicolae Pavelean,Pavelean Nicolae,≤100,1
110583568433497,Partidul Umanist Social Liberal PUSL Filiala Galați,Digital Fairy Studio SRL,≤100,4
575680309781551,Diana Mardarovici,Diana Mardarovici,≤100,1
102743169253473,Reciclăm în România,Reciclăm în România,≤100,3
1560147330888040,Winkler Gyula,Winkler Gyula,≤100,4
287615245245943,SAN AUTO Rent,SAN AUTO Rent,≤100,1
1161590740517881,Tomis News,Tomis News,≤100,5
150909498384134,Varga Glad,Glad Varga,≤100,1
