Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
103967489136860,Online Trading,These ads ran without a disclaimer,4316,1
161651553861945,Amnesty International Thailand,Amnesty International Thailand,4036,3
108515294626891,สอบข้าราชการท้องถิ่น By Thurakan,Chiraphorn Thuree,2563,3
104427797605274,พี่ต่อ ดร.เฉลิมชัย ศรีอ่อน “คำไหน-คำนั้น”,พี่ต่อ ดร.เฉลิมชัย ศรีอ่อน “คำไหน-คำนั้น”,1578,8
266172157730,คนค้นฅน,คนค้นฅน,1072,5
296508406790,"Democrat Party, Thailand พรรคประชาธิปัตย์","Democrat Party, Thailand พรรคประชาธิปัตย์",1065,12
155367977855088,กองทุนพัฒนาไฟฟ้า สำนักงาน กกพ.,These ads ran without a disclaimer,989,1
182503936019102,กาแฟยอดรัก กาแฟที่หนึ่งในดวงใจ ของแท้ 0807949553,These ads ran without a disclaimer,898,2
546416699215073,ห้องสื่อครูคอม,Krisada Khamma,871,1
513741371997112,Amarin TV,อมรินทร์ เทเลวิชั่น,750,1
257083724467673,ยุทธพล  อังกินันทน์,ยุทธพล อังกินันทน์,695,1
962818234084161,จิม จักรพันธ์ จินตนาพากานนท์,Chatchai Boonmee,651,1
106184007583774,พี่บัส GURU Police Academy : ติวสอบตำรวจ online,These ads ran without a disclaimer,600,7
972019486321939,บู้ จเด็ศ จันทรา,จเด็ด จันทรา,556,6
115922723434700,ครูเจพีสรุปย่อ for Teacher,ครูเจพีสรุปย่อ for Teacher,551,4
1105604039583762,Line One สว.นท. ขอเชิญส่งประวัติ ส่วนตัว องค์กร เพื่อเข้ารับรางวัลประจำปี,Suksan Booran,522,1
345127652279503,มูลนิธิสากลเพื่อคนพิการ,มูลนิธิสากลเพื่อคนพิการ,519,1
112017071908382,ปอเจริญวิศว์ โสมวงษ์-ปอ เบอร์ 2,Pocharoenwit Somawong,401,1
100624122148338,โรงพยาบาลรวมใจรักษ์ สุขุมวิท 62 Ruamjairak Hospital Sukhumvit 62,โรงพยาบาลรวมใจรักษ์ สุขุมวิท 62 Ruamjairak Hospital Sukhumvit 62,350,54
190923294988741,สอบครูผู้ช่วยนะ,สอบครูผู้ช่วยนะ,335,5
105208287722111,เสื้อสกรีน เสื้อทีม เสื้อรุ่น เสื้อค่าย เสื้อเทศกาล เสื้อกีฬา By A.A. Store,These ads ran without a disclaimer,322,2
105125715202609,ส.ส.ไผ่ ลิกค์,ส.ส.ไผ่ ลิกค์,300,3
110767262038153,สิ้นค้าพรรคก้าวไกล,These ads ran without a disclaimer,247,1
105711950893323,The Modernist,บริษัท โอพีเนียน มีเดีย จำกัด,246,4
101903785231136,นายกไก่กังวาล ศักดิ์ชัย พิศาลผล,Thanachit Phraemuang,224,3
104393812499502,ชีทสรุปกฎหมาย สำหรับสอบราชการ พนักงานราชการ by.kantap,ชีทสรุปกฎหมาย สำหรับสอบราชการ พนักงานราชการ by.kantap,212,1
106013161742929,ลุงเปิดประมูล,These ads ran without a disclaimer,211,1
100761582502948,จารุพล เรืองสุวรรณ - อาจารย์จา,Charupol Ruangsuwan,204,2
103943018154038,บุญสืบ จันทร์แจ่มศรี ปุ๊,บุญสืบ จันทร์แจ่มศรี,196,1
107612328588715,The Voters,สันติสุข กาญจนประกร,183,6
103153566090402,โปร-ปัง-ป๊ะ,These ads ran without a disclaimer,183,3
103572698732472,กาแฟยอดรัก โกโก้ยอดรัก เพจบริษัท ของแท้ 100% ส่งฟรีปลายทาง 0807949553,These ads ran without a disclaimer,174,1
420739021280266,Asita eco Resort,These ads ran without a disclaimer,172,2
105546651850693,วีรนันท์ ฮวดศรี-Weeranan Huadsri-ทนายป๊อก,Weeranan Huadsri,160,1
539119526485380,ทนายใหญ่ ธิมาชัย,ใหญ่ ธิมาชัย,146,1
101831726085555,พรรครวมแผ่นดิน,พรรครวมแผ่นดิน,141,2
109316932096944,ดร.พร้อมพงศ์ นพฤทธิ์ - Dr.Prompong Nopparit,Prompong Nopparit,124,1
1991958371035326,Ding Bangpu Vintage,These ads ran without a disclaimer,101,1
538633149666112,กวีวงศ์ อยู่วิจิตร-บางนา พระโขนง พรรคเพื่อไทย,กวีวงศ์ เบิด อยู่วิจิตร,≤100,1
107539654392167,เจริญพุทธา,These ads ran without a disclaimer,≤100,2
103893271631567,Venita Collagen บริษัทหลัก,These ads ran without a disclaimer,≤100,1
174674890018644,นายเดชอิศม์ ขาวทอง นายกชาย,Phetai Sretrairat,≤100,2
104232581598130,Ketkomol.Shop,These ads ran without a disclaimer,≤100,2
106664485191987,EDGE Invest,EDGE Invest,≤100,1
108508377637861,มุ้งจีบพระราม2 โรงงานผลิตมุ้งจีบ มุ้งลวด เหล็ดดัดทุกชนิด,กุหลาบ บัวสด,≤100,1
127090236957342,balloonbloom.bkk,These ads ran without a disclaimer,≤100,1
494189467277672,Agenda,บริษัท ดิ อาเจนด้า จำกัด,≤100,1
841504069272304,รชตะ ซี ด่านกุล,รชตะ ด่านกุล,≤100,1
101635594527831,PRO CleaningService บริการทำความสะอาด เชียงใหม่,These ads ran without a disclaimer,≤100,1
114914794432449,กฎหมายใช้สอบราชการ by Æ+,กฎหมายใช้สอบราชการ by Æ+,≤100,1
105053578044333,Green Hearts Phuket,These ads ran without a disclaimer,≤100,1
105838817755256,วงศ์อะเคื้อ บุญศล - กิ่งแก้ว,วงศ์อะเคื้อ บุญศล - กิ่งแก้ว,≤100,1
530945957405983,Nitipon Piwmow - นิติพล ผิวเหมาะ,นิติพล ผิวเหมาะ,≤100,1
462909117451519,หนังสือดีบอกต่อ & TONI Bookstore,These ads ran without a disclaimer,≤100,1
601953326929372,ธัญวัจน์ กมลวงศ์วัฒน์ - Tunyawaj Kamolwongwat,Tunyawaj Kamolwongwat,≤100,1
112248763465922,The Youngster,The Youngster,≤100,1
104588188417744,รับซื้อกระดาษลังเก่า - Paper Boxes Buy&Sell,These ads ran without a disclaimer,≤100,1
101379699115840,異軍Game Show,These ads ran without a disclaimer,≤100,1
106652419003229,A.Movie,These ads ran without a disclaimer,≤100,1
104571979194914,ปานทิพย์  พิมพ์พิชชา  ชัยศุภกิจเจริญ,Rujirat Pojaruen,≤100,1
106256777922958,SEA Today News,These ads ran without a disclaimer,≤100,4
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,3
111727494842051,Maria Silva,These ads ran without a disclaimer,≤100,1
1449261928703911,Lux & Lush,These ads ran without a disclaimer,≤100,1
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,3
237692023818,Belfast Telegraph,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
287683225711,UN Environment Programme,These ads ran without a disclaimer,≤100,1
102800215034719,Lux & Lush - Culture,These ads ran without a disclaimer,≤100,1
1592983857598216,China Eastern Airlines,These ads ran without a disclaimer,≤100,1
9012050691,Scribol,These ads ran without a disclaimer,≤100,1
