Location name,Amount spent (PYG)
Alto Paraguay Department,8833
Alto Paraná Department,318238
Amambay Department,14829
Asunción,390988
Boquerón department,16113
Caaguazú Department,110717
Caazapá Department,8624
Canindeyú Department,33266
Central Department,1581258
Concepción Department (Paraguay),26652
Cordillera Department,36245
Guairá Department,42460
Itapúa Department,46199
Misiones Department,66608
Paraguarí Department,18746
Presidente Hayes Department,19762
San Pedro Department,18991
Unknown,≤100
Ñeembucú Department,64727
