Location name,Amount spent (PLN)
Greater Poland Voivodeship,6279
Kuyavian-Pomeranian Voivodeship,4207
Lesser Poland Voivodeship,5550
Lower Silesian Voivodeship,4705
Lublin Voivodeship,2618
Lubusz Voivodeship,1331
Masovian Voivodeship,10315
Opole Voivodeship,1021
Podkarpackie Voivodeship,4441
Podlaskie Voivodeship,1362
Pomeranian Voivodeship,3664
Silesian Voivodeship,5547
Unknown,≤100
Warmian-Masurian Voivodeship,1538
West Pomeranian Voivodeship,2612
Łódź Voivodeship,3366
Świętokrzyskie Voivodeship,1273
