Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
301774903545521,Brasil Paralelo,Brasil Paralelo,45403,295
104625758942119,Siga Antenado,"ASSOCIACAO ADMINISTRADORA DA FAIXA DE 3,5 GHZ - EAF",16459,78
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,13324,314
112830251033781,Tiger,GRUPO HEINEKEN,4963,1
171169022896525,Guaraná Antarctica,Ambev,4452,2
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,3563,3
465235726843103,Ambev,Ambev,3536,7
159103797542,Greenpeace Brasil,Greenpeace Brasil,3062,211
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,2701,2
142183709175200,Sou Concurseiro e Vou Passar,SOUZA E SILVA - TREINAMENTOS LTDA ME,2592,20
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,1998,15
112021296931600,Mônica Lopes,IBPOM,1640,122
255804437808407,Vale,Vale,1594,4
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,1258,63
101189854802059,Revista Oeste,Revista Oeste,1218,10
263563620333111,Eduardo Braga,Carlos Braga,1197,10
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,1182,258
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,1172,5
314916388685112,Deputado Val Ceasa,Roosevelt Barcelos,1152,3
110418455214538,Bernardo K.,Filhos do Trovão,1121,144
108144225531670,Selena Golveia,These ads ran without a disclaimer,1118,3
113005112093720,Aldo Solar,Aldo Solar,908,2
456634664428230,Dr. Raul,Andre Luiz Dos Santos Alvarez,901,2
110647840532680,Merge Mayor,These ads ran without a disclaimer,804,2
113165042099382,Brasil 61,Brasil 61,730,35
123884341029248,João Jorge,JOÃO JORGE DE SOUZA,592,4
258088921369,TOTVS,TOTVS,592,6
334336000061313,Ben & Jerry's,These ads ran without a disclaimer,578,2
251235795032635,Itamar Borges,Itamar Borges,577,32
172154116311925,Sindserv Santos,Sindserv Santos - Sindicato dos Servidores Públicos Municipais de Santos,565,4
104498669210628,Gustavo Rodrigenes,Assinatura Direito,525,74
330379553673497,Oxfam Brasil,Oxfam Brasil,524,65
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,519,91
1397203340311792,Prefeitura de Rondonópolis,Prefeitura de Rondonópolis,510,8
109683115293269,Paulo Roberto,These ads ran without a disclaimer,489,5
1534982756793690,Foodvisor,These ads ran without a disclaimer,482,3
196452727048562,Governo do Rio Grande do Sul,SECRETARIA DE COMUNICAÇÃO,482,10
380752075612906,Deputado Cezar,Antonio da Rocha Marmo Cezar,481,10
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,474,35
201991609984528,Odair Cunha,Odair José da Cunha,473,39
100107594927557,Portal O PODER,Pontual pesquisas e mídias Eireli,439,11
7970426802,WWF-Brasil,WWF-Brasil,430,33
110225312350543,Nova Escola,Associação Nova Escola,426,19
224777780881144,Visão Mundial,Visão Mundial,417,13
115811301935382,Analice Fernandes,Analice Fernandes,377,3
687008454694990,Randolfe Rodrigues,Randolfh Frederich Rodrigues Alves,368,4
552483638152177,Giovani Cherini,Deputado Cherini,361,29
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,353,15
1504580766531518,Mulheres Progressistas,PROGRESSISTAS - BRASIL - BR - NACIONAL,347,2
106091268052699,Prefeitura de Diadema,Prefeitura de Diadema,332,5
109272165397476,Gerson Aragao,SCIREJUS APLICATIVOS JURIDICOS LTDA,329,33
170166996524709,Orlando Morando,Orlando Morando Junior,319,8
141670129347094,Elizeu Nascimento,Elizeu Nascimento,295,13
484137231655181,Herculano Passos,Herculano Passos,294,2
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,293,7
124632230915020,Luciana Genro,Luciana Krebs Genro,292,13
367980806622995,Bruna Furlan Deputada Estadual,Bruna Furlan,292,54
239977579362882,Blue3,Blue3 Investimentos,290,5
1745314689088377,Delegado Rodrigo Camargo,Delegado Rodrigo Camargo,288,59
669979576373645,Delegado Eduardo Boigues,Delegado Eduardo Boigues,279,21
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,278,5
104738421003389,InvestNews BR,Easynvest,268,11
287652947932104,APP-Sindicato,APP Sindicato dos Trabalhadores em Educação Pública do Paraná,267,5
108742321417244,Gerson Aragão,SCIREJUS APLICATIVOS JURIDICOS LTDA,261,36
152338908863109,William Dornela,William Dornela,254,55
1087471917938156,Sistema Fecomércio RJ,Fecomércio RJ,252,6
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",245,6
1611963792244876,Ana Paula Siqueira,Ana Siqueira,242,4
106768162342330,Talita silva,These ads ran without a disclaimer,241,2
1082805205172897,Zé Vitor,Zé Vitor,216,1
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,205,5
140386962704024,Governo de Pernambuco,Governo de Pernambuco,203,5
543175155700057,Fernando Fernandes Filho,Claudia Vicenza Funari Sa Borges,199,1
189814474429903,Kayo Amado,Kayo Felype Nachtajler Amado,199,4
103222252564490,Método de Aprovação,SCIREJUS APLICATIVOS JURIDICOS LTDA,197,15
405696379766191,Angelo Coronel,ANGELO MAR1 CORONEL DE AZEVED0 MARTINS,195,2
110972683845381,Conta Bemol,Bemol Serviços Financeiros,195,3
104486751876738,Tenente Coronel Zucco,Luciano Zucco,194,3
172444996112900,Fundo Brasil,Fundo Brasil,194,83
108143861587898,Mauricio Neves,Mauricio Neves,193,3
409540602424777,Luciano Ducci,LUCIANO DUCCI,188,6
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,186,11
1489166481393051,Prefeitura Municipal de Arapoti,MUNICIPIO DE ARAPOTI,183,4
1796853600564637,Jair Da Mendes Gomes,ADEJAIR SANCHES DE AGUIAR,183,3
