Location name,Amount spent (SEK)
Blekinge County,2952
Dalarna County,5651
Gotland County,1651
Gävleborg County,5621
Halland County,6076
Jämtland County,2544
Jönköping County,6772
Kalmar County,4998
Kronoberg County,3248
Norrbotten County,4529
Skåne County,24497
Stockholm County,52897
Södermanland County,5871
Unknown,≤100
Uppsala County,8250
Värmland County,5358
Västerbotten County,5068
Västernorrland County,4506
Västmanland County,5345
Västra Götaland County,34806
Örebro County,6242
Östergötland County,8953
