Location name,Amount spent (PEN)
Amazonas Region,431
Ancash Region,167
Apurímac Region,≤100
Arequipa Region,252
Ayacucho Region,≤100
Cajamarca Region,589
Callao,5594
Cusco Region,8855
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,170
Junín Region,273
La Libertad Region,293
Lambayeque Region,568
Lima Region,12675
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,274
Pasco Region,926
Piura Region,10494
Puno Region,131
San Martín Region,116
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
