Location name,Amount spent (CAD)
Alberta,8727
British Columbia,11795
Manitoba,1540
New Brunswick,506
Newfoundland and Labrador,234
Northwest Territories,≤100
Nova Scotia,635
Nunavut,≤100
Ontario,19155
Prince Edward Island,≤100
Quebec,3351
Saskatchewan,841
Unknown,≤100
Yukon,≤100
