Location name,Amount spent (GTQ)
Alta Verapaz Department,1056
Baja Verapaz Department,397
Chimaltenango Department,974
Chiquimula Department,686
El Progreso Department,312
Escuintla Department,1605
Guatemala Department,16628
Huehuetenango Department,1767
Izabal Department,1066
Jalapa Department,422
Jutiapa Department,738
Petén Department,747
Quetzaltenango Department,2206
Quiché Department,1057
Retalhuleu Department,638
Sacatepéquez Department,799
San Marcos Department,4074
Santa Rosa Department,503
Sololá Department,660
Suchitepéquez Department,834
Totonicapán Department,647
Unknown,≤100
Zacapa Department,1404
