Location name,Amount spent (COP)
Amazonas,5172
Antioquia,8425293
Arauca,27134
Atlantico,825574
Bolivar,725874
Boyaca,677226
Caldas,723443
Caqueta,143091
Casanare,222603
Cauca,321618
Cesar,189162
Choco,124145
Cordoba,514160
Cundinamarca,793652
Distrito Especial,4052788
Guainia,14559
Guaviare,58362
Huila,1053486
La Guajira,79909
Magdalena,248850
Meta,499055
Narino,134280
Norte de Santander,1118404
Putumayo,174132
Quindio,179941
Risaralda,950078
San Andres y Providencia,16277
Santander,1159624
Sucre,251043
Tolima,540474
Unknown,553
Valle del Cauca,3420295
Vaupes,542
Vichada,1578
