Location name,Amount spent (VND)
An Giang Province,4604
Bà Rịa–Vũng Tàu Province,19440
Bình Dương Province,26702
Bình Phước Province,5678
Bình Thuận Province,3450
Bình Định Province,15804
Bạc Liêu Province,4900
Bắc Giang Province,13508
Bắc Kạn Province,1959
Bắc Ninh Province,5578
Bến Tre Province,9631
Cao Bằng Province,25497
Cà Mau Province,1707
Cần Thơ,8300
Da Nang,13918
Gia Lai Province,2966
Haiphong,14617
Ho Chi Minh City,781528
Hà Giang Province,8212
Hà Nam Province,1476
Hà Tĩnh Province,11484
Hòa Bình Province,4841
Hưng Yên Province,9486
Hải Dương Province,3614
Hậu Giang Province,893
Khánh Hòa Province,8899
Kiên Giang Province,12884
Kon Tum Province,12988
Lai Châu Province,658
Long An Province,14971
Lào Cai Province,5067
Lâm Đồng Province,16971
Lạng Sơn Province,3418
Nam Định Province,3257
Nghệ An Province,62683
Ninh Bình Province,2374
Ninh Thuận Province,479
Phú Thọ Province,4185
Phú Yên Province,2586
Quảng Bình Province,5744
Quảng Nam Province,12086
Quảng Ngãi Province,1948
Quảng Ninh Province,5797
Quảng Trị Province,6952
Sóc Trăng Province,2179
Sơn La Province,29273
Thanh Hóa Province,8754
Thái Bình Province,9118
Thái Nguyên Province,8418
Thừa Thiên–Huế Province,5925
Tiền Giang Province,6037
Trà Vinh Province,1634
Tuyên Quang Province,2797
Tây Ninh Province,11460
Vĩnh Long Province,8269
Vĩnh Phúc Province,2703
Yên Bái Province,2394
Điện Biên Province,2505
Đắk Lắk Province,21885
Đắk Nông Province,12188
Đồng Nai Province,42629
Đồng Tháp Province,14259
